time,cpu_usage.cpu_percentage
2020-07-21T15:15:53.271000,3.0
2020-07-21T15:16:53.927000,9.5
2020-07-21T15:17:56.797000,12.5
2020-07-21T15:18:57.289000,3.0
2020-07-21T15:20:01.011000,9.5
2020-07-21T15:21:03.402000,12.5
2020-07-21T15:22:04.672000,2.7499999999999996
2020-07-21T15:23:06.580000,9.25
2020-07-21T15:24:09.205000,12.75
2020-07-21T15:25:10.825000,3.0
2020-07-21T15:26:12.952000,9.25
2020-07-21T15:27:14.799000,12.5
2020-07-21T15:28:16.829000,2.7499999999999996
2020-07-21T15:29:19.435000,9.5
2020-07-21T15:30:20.815000,12.249999999999998
2020-07-21T15:31:22.778000,3.0
2020-07-21T15:32:25.145000,9.5
2020-07-21T15:33:25.900000,12.75
2020-07-21T15:34:29.417000,3.0
2020-07-21T15:35:30.850000,9.749999999999998
2020-07-21T15:36:32.222000,12.75
2020-07-21T15:37:35.017000,3.0
2020-07-21T15:38:37.226000,9.749999999999998
2020-07-21T15:39:38.899000,2.5
2020-07-21T15:40:40.937000,8.5
2020-07-21T15:41:42.594000,13.499999999999998
2020-07-21T15:42:44.424000,3.0
2020-07-21T15:43:46.780000,9.5
2020-07-21T15:44:48.743000,12.75
2020-07-21T15:45:50.838000,2.7499999999999996
2020-07-21T15:46:53.243000,9.5
2020-07-21T15:47:55.212000,12.75
2020-07-21T15:48:56.688000,3.2499999999999996
2020-07-21T15:49:59.181000,9.0
2020-07-21T15:51:00.818000,12.999999999999998
2020-07-21T15:52:02.664000,2.7499999999999996
2020-07-21T15:53:04.745000,9.25
2020-07-21T15:54:06.693000,12.75
2020-07-21T15:55:08.977000,3.2499999999999996
2020-07-21T15:56:10.887000,8.5
2020-07-21T15:57:13.044000,13.750000000000002
2020-07-21T15:58:15.036000,2.7499999999999996
2020-07-21T15:59:16.610000,9.5
2020-07-21T16:00:19.242000,12.249999999999998
2020-07-21T16:01:20.958000,3.0
2020-07-21T16:02:22.941000,9.25
2020-07-21T16:03:24.846000,12.999999999999998
2020-07-21T16:04:27.167000,2.7499999999999996
2020-07-21T16:05:28.775000,9.5
2020-07-21T16:06:30.916000,12.249999999999998
2020-07-21T16:07:32.722000,3.0
2020-07-21T16:08:34.728000,9.5
2020-07-21T16:09:36.801000,12.75
2020-07-21T16:10:39.261000,9.0
2020-07-21T16:11:40.627000,13.499999999999998
2020-07-21T16:12:42.395000,2.7499999999999996
2020-07-21T16:13:44.608000,9.5
2020-07-21T16:14:46.933000,12.249999999999998
2020-07-21T16:15:48.782000,3.0
2020-07-21T16:16:50.937000,9.0
2020-07-21T16:17:52.017000,13.25
2020-07-21T16:18:54.997000,3.0
2020-07-21T16:19:57.140000,9.5
2020-07-21T16:20:59.364000,12.5
2020-07-21T16:22:00.634000,2.7499999999999996
2020-07-21T16:23:02.826000,9.5
2020-07-21T16:24:04.801000,13.25
2020-07-21T16:25:06.739000,3.2499999999999996
2020-07-21T16:26:08.958000,9.5
2020-07-21T16:27:10.879000,12.75
2020-07-21T16:28:12.859000,3.0
2020-07-21T16:29:14.963000,9.749999999999998
2020-07-21T16:30:17.019000,12.999999999999998
2020-07-21T16:31:19.047000,3.0
2020-07-21T16:32:20.939000,9.25
2020-07-21T16:33:23.719000,13.25
2020-07-21T16:34:25.157000,3.0
2020-07-21T16:35:26.669000,9.749999999999998
2020-07-21T16:36:28.972000,12.75
2020-07-21T16:37:30.900000,2.7499999999999996
2020-07-21T16:38:32.484000,9.749999999999998
2020-07-21T16:39:34.890000,13.499999999999998
2020-07-21T16:40:36.984000,2.7499999999999996
2020-07-21T16:41:38.652000,12.999999999999998
2020-07-21T16:42:40.598000,3.2499999999999996
2020-07-21T16:43:42.501000,9.25
2020-07-21T16:44:45.116000,12.5
2020-07-21T16:45:47.019000,2.7499999999999996
2020-07-21T16:46:48.915000,9.5
2020-07-21T16:47:50.564000,12.249999999999998
2020-07-21T16:48:53.131000,3.0
